iter	Passed	Remaining
0	2	228
1	4	204
2	6	195
3	7	185
4	9	188
5	12	188
6	14	191
7	16	191
8	18	191
9	20	188
10	23	190
11	25	188
12	28	188
13	30	190
14	33	188
15	35	186
16	37	185
17	39	181
18	41	178
19	44	178
20	46	176
21	48	173
22	51	171
23	53	170
24	56	169
25	58	165
26	60	164
27	63	162
28	65	159
29	67	157
30	69	155
31	72	153
32	74	151
33	75	147
34	78	145
35	80	143
36	82	140
37	84	137
38	85	133
39	87	130
40	88	127
41	89	122
42	90	119
43	92	117
44	94	115
45	96	113
46	98	111
47	100	109
48	102	106
49	104	104
50	106	102
51	108	100
52	110	97
53	112	95
54	113	92
55	115	90
56	117	88
57	118	85
58	120	83
59	121	81
60	123	78
61	125	76
62	127	74
63	128	72
64	130	70
65	132	68
66	133	65
67	135	63
68	136	61
69	138	59
70	139	57
71	141	54
72	142	52
73	143	50
74	145	48
75	146	46
76	147	44
77	149	42
78	150	39
79	151	37
80	152	35
81	153	33
82	154	31
83	155	29
84	156	27
85	158	25
86	159	23
87	160	21
88	161	19
89	162	18
90	163	16
91	165	14
92	166	12
93	167	10
94	168	8
95	169	7
96	170	5
97	171	3
98	172	1
99	173	0
